Table 1
University,Specialty
Северо-Казахстанский университет им.М.Козыбаева,6B04101 Экономика
Шымкентский университет,6B04101 Экономика
Жетысуский университет имени Ильяса Жансугурова,6B04101 Экономика
Торайгыров университет,6B04101 Экономика
Алматинский технологический университет,6B04101 Экономика
Казахстанско-Американский свободный университет,6B04101 Экономика
Казахский национальный аграрный исследовательский университет,6B04101 Экономика
Казахский автомобильно-дорожный институт им. Л. Б. Гончарова,6B04101 Экономика
Гуманитарно-техническая академия,6B04101 Экономика
Международный Таразский инновационный институт имени Шерхана Муртазы,6B04101 Экономика
Инновационный Евразийский университет,6B04101 Экономика
Карагандинский университет Казпотребсоюза,6B04101 Экономика
Университет имени Сулеймана Демиреля,6B04101 Экономика
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B04101 Экономика
Актюбинский региональный университет имени К.Жубанова,6B04101 Экономика
Атырауский университет имени Х.Досмухамедова,6B04101 Экономика
Жезказганский университет им. О.А.Байконурова,6B04101 Экономика
Восточно-Казахстанский технический университет им. Д. Серикбаева,6B04101 Экономика электронного бизнеса
Astana IT University,6B04102 IT предпринимательство
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B04102 Аудит и налогообложение
Северо-Казахстанский университет им.М.Козыбаева,6B04102 Государственное и местное управление
Университет «Туран»,6B04102 Государственное и местное управление
Карагандинский университет имени академика Е.А.Букетова,6B04102 Государственное и местное управление
Жетысуский университет имени Ильяса Жансугурова,6B04102 Государственное и местное управление
Esil University,6B04102 Государственное и местное управление
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B04102 Государственное и местное управление
Университет КИМЭП,6B04102 Маркетинг
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,6B04102 Математическая экономика и анализ данных
Карагандинский технический университет имени Абылкаса Сагинова,6B04102 Менеджмент
Университет имени Шакарима города Семей,6B04102 Менеджмент
Университет «Туран-Астана»,6B04102 Менеджмент
Торайгыров университет,6B04102 Менеджмент
Алматинский технологический университет,6B04102 Менеджмент
Казахстанско-Американский свободный университет,6B04102 Менеджмент
Казахский национальный аграрный исследовательский университет,6B04102 Менеджмент
Инновационный Евразийский университет,6B04102 Менеджмент
Карагандинский университет Казпотребсоюза,6B04102 Менеджмент
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B04102 Менеджмент
Актюбинский региональный университет имени К.Жубанова,6B04102 Менеджмент
Костанайский инженерно-экономический университет им. М. Дулатова,6B04102 Менеджмент
Казахский национальный университет им.аль-Фараби,6B04102 Менеджмент
Университет имени Сулеймана Демиреля,6B04102 Менеджмент
Казахско-русский международный университет,6B04102 Менеджмент
Казахский Национальный педагогический университет имени Абая,6B04102 Менеджмент
Атырауский университет имени Х.Досмухамедова,6B04102 Менеджмент в отраслях
Шымкентский университет,6B04102 Учет и аудит
Международный Таразский инновационный институт имени Шерхана Муртазы,6B04102 Учет и аудит
Международный инженерно-технологический университет,6B04102 Учет и аудит
Алматинский гуманитарно-экономический университет,6B04102 Учет и аудит
Академия «Кайнар»,6B04102 Учет и аудит
Казахский агротехнический исследовательский университет имени С. Сейфуллина,6B04102 Финансовая аналитика
Университет имени Жумабека Ахметулы Ташенева,6B04102 Финансы
Гуманитарно-техническая академия,6B04102 Финансы
Казахстанско-Немецкий университет,6B04102 Финансы
Международный университет Астана,6B04102 Финансы
Де Монтфорт Юниверсити Казахстан,6B04102 Финансы и инвестиции
Казахстанско-Британский технический университет,6B04102 Экономика
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04102 Экономика
Западно-Казахстанский инновационно-технологический университет,6B04102 Экономика
Кызылординский университет «Болашак»,6B04102 Экономика
Евразийский национальный университет им. Л.Н.Гумилева,6B04102 Экономика
Университет «Мирас»,6B04102 Экономика и управление
Университет «Мирас»,6B04102 Экономика и управление
Западно-Казахстанский университет имени Махамбета Утемисова,6B04102 Экономическая безопасность
Международный университет информационных технологий,6B04102 Электронный бизнес
Алматы менеджмент университет,6B04103 Бизнес администрирование в области предпринимательства
Де Монтфорт Юниверсити Казахстан,6B04103 Бизнес и маркетинг
Университет «Мирас»,6B04103 Бизнес и финансы
Университет «Мирас»,6B04103 Бизнес и финансы
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,6B04103 Бизнес инжиниринг
Восточно-Казахстанский технический университет им. Д. Серикбаева,6B04103 Бизнес-управление производственными системами
Евразийский национальный университет им. Л.Н.Гумилева,6B04103 Государственное и местное  управление
Алматинский технологический университет,6B04103 Государственное и местное управление
Международный университет информационных технологий,6B04103 Инновационный менеджмент
Северо-Казахстанский университет им.М.Козыбаева,6B04103 Менеджмент
Университет КИМЭП,6B04103 Менеджмент
Западно-Казахстанский инновационно-технологический университет,6B04103 Менеджмент
Жетысуский университет имени Ильяса Жансугурова,6B04103 Менеджмент
Кокшетауский университет имени Ш. Уалиханова,6B04103 Менеджмент в отраслях
Казахский университет международных отношений и мировых языков им.Абылай хана,6B04103 Менеджмент и маркетинг
Казахстанско-Немецкий университет,6B04103 Менеджмент предприятий
Казахский агротехнический исследовательский университет имени С. Сейфуллина,6B04103 Управление  бизнесом и предпринимательство
Казахстанско-Британский технический университет,6B04103 Учет и аудит
Торайгыров университет,6B04103 Учет и аудит
Казахстанско-Американский свободный университет,6B04103 Учет и аудит
Казахский национальный аграрный исследовательский университет,6B04103 Учет и аудит
Казахский автомобильно-дорожный институт им. Л. Б. Гончарова,6B04103 Учет и Аудит
Гуманитарно-техническая академия,6B04103 Учет и аудит
Инновационный Евразийский университет,6B04103 Учет и аудит
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B04103 Учет и аудит
Карагандинский университет Казпотребсоюза,6B04103 Учет и аудит
Казахский университет технологии и бизнеса,6B04103 Учет и аудит
Актюбинский региональный университет имени К.Жубанова,6B04103 Учет и аудит
Университет имени Сулеймана Демиреля,6B04103 Учет и аудит
Костанайский социально-технический университет имени академика Зулкарнай Алдамжар,6B04103 Учет и аудит
Казахский Национальный педагогический университет имени Абая,6B04103 Учет и аудит
Университет «Туран-Астана»,6B04103 Учет и аудит
Шымкентский университет,6B04103 Финансы
Евразийский технологический университет,6B04103 Финансы
Международный инженерно-технологический университет,6B04103 Финансы
Международный Таразский инновационный институт имени Шерхана Муртазы,6B04103 Финансы
Кызылординский университет «Болашак»,6B04103 Финансы
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B04103 Финансы
Университет имени Жумабека Ахметулы Ташенева,6B04103 Экономика
Университет «Туран»,6B04103 Экономика
Карагандинский университет имени академика Е.А.Букетова,6B04103 Экономика
Костанайский инженерно-экономический университет им. М. Дулатова,6B04103 Экономика
Казахский национальный университет им.аль-Фараби,6B04103 Экономика
Esil University,6B04103 Экономика
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B04103 Экономика
Академия «Кайнар»,6B04103 Экономика
Карагандинский индустриальный университет,6B04103 Экономика бизнеса
Атырауский университет имени Х.Досмухамедова,6B04103 Экономика и государственное управление
Казахский агротехнический исследовательский университет имени С. Сейфуллина,6B04104 Digital Маркетинг
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,6B04104 Startup бакалавриат
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B04104 Бизнес-аналитика в экономике
Университет КИМЭП,6B04104 Бухгалтерский учет и аудит
Де Монтфорт Юниверсити Казахстан,6B04104 Бухгалтерский учет и финансы
Карагандинский технический университет имени Абылкаса Сагинова,6B04104 Государственное и местное управление
Шымкентский университет,6B04104 Государственное и местное управление
Западно-Казахстанский инновационно-технологический университет,6B04104 Государственное и местное управление
Международный Таразский инновационный институт имени Шерхана Муртазы,6B04104 Государственное и местное управление
Кызылординский университет «Болашак»,6B04104 Государственное и местное управление
Международный инженерно-технологический университет,6B04104 Маркетинг
Алматы менеджмент университет,6B04104 Маркетинг
Казахстанско-Немецкий университет,6B04104 Маркетинг
Международный транспортно-гуманитарный университет,6B04104 Менеджмент
Алматинский гуманитарно-экономический университет,6B04104 Менеджмент
Гуманитарно-техническая академия,6B04104 Менеджмент
Кызылординский университет имени Коркыт Ата,6B04104 Менеджмент. Маркетинг. Продажи
Университет «Мирас»,6B04104 Менеджмент. Маркетинг. Продажи
Казахский национальный университет им.аль-Фараби,6B04104 Мировая экономика
Университет «Туран»,6B04104 Мировая экономика
Esil University,6B04104 Мировая экономика
Карагандинский университет имени академика Е.А.Букетова,6B04104 Предпринимательство и управление проектами
Университет имени Жумабека Ахметулы Ташенева,6B04104 Управление IT
Университет имени Шакарима города Семей,6B04104 Учет и аудит
Жетысуский университет имени Ильяса Жансугурова,6B04104 Учет и аудит
Костанайский инженерно-экономический университет им. М. Дулатова,6B04104 Учет и аудит
Евразийский национальный университет им. Л.Н.Гумилева,6B04104 Учет и аудит
Восточно-Казахстанский технический университет им. Д. Серикбаева,"6B04104 Учет, анализ и аудит на предприятии"
Атырауский университет имени Х.Досмухамедова,"6B04104 Учет, аудит и анализ бизнес-процессов"
Международный университет информационных технологий,6B04104 Финансовый инжиниринг
Казахстанско-Британский технический университет,6B04104 Финансы
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04104 Финансы
Университет «Туран-Астана»,6B04104 Финансы
Северо-Казахстанский университет им.М.Козыбаева,6B04104 Финансы
Торайгыров университет,6B04104 Финансы
Казахстанско-Американский свободный университет,6B04104 Финансы
Инновационный Евразийский университет,6B04104 Финансы
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B04104 Финансы
Казахский национальный аграрный исследовательский университет,6B04104 Финансы
Карагандинский университет Казпотребсоюза,6B04104 Финансы
Актюбинский региональный университет имени К.Жубанова,6B04104 Финансы
Университет имени Сулеймана Демиреля,6B04104 Финансы
Казахский Национальный педагогический университет имени Абая,6B04104 Финансы
Академия «Кайнар»,6B04104 Финансы
Карагандинский индустриальный университет,6B04104 Экономика финансовой организации
Кокшетауский университет имени Ш. Уалиханова,6B04104 Экономист аналитик
Карагандинский университет имени академика Е.А.Букетова,6B04105 Бизнес-аналитика и бизнес-консалтинг
Кокшетауский университет имени Ш. Уалиханова,6B04105 Бухгалтерский учет и экономический анализ
Казахский Национальный педагогический университет имени Абая,6B04105 Государственное и местное управление
Университет «Туран-Астана»,6B04105 Государственное и местное управление
Торайгыров университет,6B04105 Государственное и местное управление
Казахстанско-Американский свободный университет,6B04105 Государственное и местное управление
Гуманитарно-техническая академия,6B04105 Государственное и местное управление
Казахский национальный аграрный исследовательский университет,6B04105 Государственное и местное управление
Карагандинский университет Казпотребсоюза,6B04105 Государственное и местное управление
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B04105 Государственное и местное управление
Актюбинский региональный университет имени К.Жубанова,6B04105 Государственное и местное управление
Университет имени Сулеймана Демиреля,6B04105 Диджитал маркетинг
Международный инженерно-технологический университет,6B04105 Информационные и инновационные технологии в экономике
Казахстанско-Британский технический университет,6B04105 Маркетинг
Алматинский гуманитарно-экономический университет,6B04105 Маркетинг
Атырауский университет нефти и газа имени С. Утебаева,6B04105 Маркетинг нефти и транспортировки нефти
Международная образовательная корпорация,6B04105 Международные финансы и управление инвестициями
Казахстанский университет инновационных и телекоммуникационных систем,6B04105 Менеджмент
Казахский университет технологии и бизнеса,6B04105 Менеджмент
Международный Таразский инновационный институт имени Шерхана Муртазы,6B04105 Менеджмент: Управление человеческими ресурсами
Де Монтфорт Юниверсити Казахстан,6B04105 Реклама и маркетинговые коммуникации
Северо-Казахстанский университет им.М.Козыбаева,6B04105 Учет и аудит
Университет «Туран»,6B04105 Учет и аудит
Алматинский технологический университет,6B04105 Учет и аудит
Казахский национальный университет им.аль-Фараби,6B04105 Учет и аудит
Западно-Казахстанский инновационно-технологический университет,6B04105 Учет и аудит
Esil University,6B04105 Учет и аудит
Международный университет информационных технологий,6B04105 Финансовые технологии
Университет имени Шакарима города Семей,6B04105 Финансы
Университет КИМЭП,6B04105 Финансы
Костанайский инженерно-экономический университет им. М. Дулатова,6B04105 Финансы
Западно-Казахстанский университет имени Махамбета Утемисова,6B04105 Финансы
Алматы менеджмент университет,6B04105 Финансы
Атырауский университет имени Х.Досмухамедова,6B04105 Финансы и аналитика
Международный транспортно-гуманитарный университет,6B04105 Экономика
Центрально-Азиатский Инновационный Университет,6B04105 Экономика
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B04105 Экономика и бизнес аналитика
Евразийский национальный университет им. Л.Н.Гумилева,6B04105 Экономика предпринимательства и бизнеса
Казахский агротехнический исследовательский университет имени С. Сейфуллина,6B04105 Экономика современного бизнеса
Международный инженерно-технологический университет,6B04106 IT Маркетинг
Кокшетауский университет имени Ш. Уалиханова,6B04106 Банковское дело и финансовый менеджмент
Де Монтфорт Юниверсити Казахстан,6B04106 Бизнес и управление
Казахский агротехнический исследовательский университет имени С. Сейфуллина,"6B04106 Бухгалтерский учет, аудит и налоговый консалтинг"
Казахстанский университет инновационных и телекоммуникационных систем,6B04106 Государственная служба и местное управление
Западно-Казахстанский университет имени Махамбета Утемисова,6B04106 Государственное и местное управление
Торайгыров университет,6B04106 Маркетинг
Казахский национальный аграрный исследовательский университет,6B04106 Маркетинг
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B04106 Маркетинг
Карагандинский университет Казпотребсоюза,6B04106 Маркетинг
Казахский Национальный педагогический университет имени Абая,6B04106 Маркетинг
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04106 Менеджмент
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B04106 Менеджмент в цифровой экономике
Университет имени Шакарима города Семей,6B04106 Менеджмент/ Business Administration
Карагандинский технический университет имени Абылкаса Сагинова,6B04106 Оценка
Гуманитарно-техническая академия,6B04106 Оценка
Восточно-Казахстанский технический университет им. Д. Серикбаева,6B04106 Управление финансами наукоемких предприятий
Центрально-Азиатский Инновационный Университет,6B04106 Учет и аудит
Карагандинский университет имени академика Е.А.Букетова,6B04106 Учет и аудит
Алматы менеджмент университет,6B04106 Учет и аудит
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B04106 Учет и аудит бизнес-структур
Карагандинский индустриальный университет,6B04106 Учет и аудит в предпринимательстве
Жетысуский университет имени Ильяса Жансугурова,6B04106 Финансы
Университет «Туран»,6B04106 Финансы
Казахский национальный университет им.аль-Фараби,6B04106 Финансы
Западно-Казахстанский инновационно-технологический университет,6B04106 Финансы
Алматинский технологический университет,6B04106 Финансы
Университет КИМЭП,6B04106 Экономика
Атырауский инженерно-гуманитарный институт,6B04106 Экономика
Восточно-Казахстанский технический университет им. Д. Серикбаева,6B04107 Social медиа маркетинг
Университет «Туран-Астана»,6B04107 Аудит
Де Монтфорт Юниверсити Казахстан,6B04107 Бизнес-предпринимательство и инновации
Казахский университет технологии и бизнеса,6B04107 Государственное и местное управление
Карагандинский университет имени академика Е.А.Букетова,6B04107 Государственный аудит
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04107 Маркетинг
Университет «Туран»,6B04107 Маркетинг
Гуманитарно-техническая академия,6B04107 Маркетинг
Казахский национальный университет им.аль-Фараби,6B04107 Маркетинг
Атырауский университет имени Х.Досмухамедова,6B04107 Маркетинг
Международный университет Астана,6B04107 Международная торговля и экономика
Атырауский инженерно-гуманитарный институт,6B04107 Менеджмент
Каспийский общественный университет,6B04107 Менеджмент
Университет имени Шакарима города Семей,6B04107 Менеджмент/ Hotel Management
Карагандинский университет Казпотребсоюза,6B04107 Мировая экономика
Международный транспортно-гуманитарный университет,6B04107 Учет и аудит
Западно-Казахстанский аграрно-технический университет им. Жангир хана,"6B04107 Учет, аудит и оценка бизнеса"
Центрально-Азиатский Инновационный Университет,6B04107 Финансы
Esil University,6B04107 Финансы
Казахский Национальный педагогический университет имени Абая,6B04107 Экономика (двудипломная)
Северо-Казахстанский университет им.М.Козыбаева,6B04107 Экономика в бизнесе
Казахстанский университет инновационных и телекоммуникационных систем,6B04107 Экономика и бизнес
Карагандинский технический университет имени Абылкаса Сагинова,6B04107 Экономика промышленности
Международный университет Астана,6B04108 Бизнес администрирование
Актюбинский региональный университет имени К.Жубанова,6B04108 Бизнес администрирование
Северо-Казахстанский университет им.М.Козыбаева,6B04108 Бизнес и менеджмент
Казахстанский университет инновационных и телекоммуникационных систем,6B04108 Бухгалтерский учет и аудит
Международная образовательная корпорация,6B04108 Инновационный маркетинг
Esil University,6B04108 Маркетинг
Казахстанско-Американский свободный университет,6B04108 Маркетинг и PR менеджмент
Карагандинский университет Казпотребсоюза,6B04108 Оценка
Атырауский инженерно-гуманитарный институт,6B04108 Учет и аудит
Карагандинский технический университет имени Абылкаса Сагинова,6B04108 Учет и аудит в промышленности
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B04108 Финансовая аналитика
Казахский университет технологии и бизнеса,6B04108 Финансы
Евразийский гуманитарный институт имени А.К. Кусаинова,6B04108 Финансы
Жетысуский университет имени Ильяса Жансугурова,6B04108 Финансы и учет
Казахстанско-Британский технический университет,6B04108 Финансы и Экономика
Западно-Казахстанский университет имени Махамбета Утемисова,6B04108 Экономика и менеджмент
Университет имени Шакарима города Семей,6B04108 Экономика и менеджмент
Восточно-Казахстанский технический университет им. Д. Серикбаева,6B04108 Экономика и менеджмент
Esil University,6B04109 Digital маркетинг
Университет имени Шакарима города Семей,6B04109 Бухгалтерский учет и финансы
Каспийский общественный университет,6B04109 Государственная служба и управление
Восточно-Казахстанский технический университет им. Д. Серикбаева,6B04109 Государственный финансовый менеджмент
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B04109 Индустриальный менеджмент
Международный транспортно-гуманитарный университет,6B04109 Маркетинг
Казахстанский университет инновационных и телекоммуникационных систем,6B04109 Оценка
Карагандинский технический университет имени Абылкаса Сагинова,6B04109 Оценка (по отраслям)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B04109 Финансовые рынки и корпоративный бизнес
Карагандинский университет Казпотребсоюза,6B04109 Финансовые технологии в цифровой экономике
Атырауский инженерно-гуманитарный институт,6B04109 Финансы
Карагандинский университет имени академика Е.А.Букетова,6B04109 Финансы
Казахский национальный университет им.аль-Фараби,6B04109 Цифровая экономика
Жетысуский университет имени Ильяса Жансугурова,6B04109 Экономика и управление
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04110 IT в бизнесе
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B04110 Маркетинг
Атырауский инженерно-гуманитарный институт,6B04110 Маркетинг нефти и нефтепроводов
Esil University,6B04110 Таможенное дело
Западно-Казахстанский университет имени Махамбета Утемисова,6B04110 Управление человеческими ресурсами
Казахстанский университет инновационных и телекоммуникационных систем,6B04110 Финансы и кредит
Университет Дружбы народов имени академика А.Куатбекова,6B04110 Экономика
Екибастузский инженерно-технический институт им.академика К.Сатпаева,6B04110 Экономика
Казахский университет технологии и бизнеса,6B04110 Экономика
Рудненский индустриальный университет,6B04110 Экономика и предпринимательство
Esil University,6B04111 Digital бизнес
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04111 Бизнес администрирование в области Бухгалтерского Учета
Таразский  региональный университет имени М.Х.Дулати,"6B04111 Бухгалтерский учет, аудит и налогообложение предпринимательства"
Баишев Университет,6B04111 Государственное и местное управление
Международный университет Астана,6B04111 Маркетинг
Евразийский технологический университет,6B04111 Менеджмент
Рудненский индустриальный университет,6B04111 Менеджмент организации
Казахский национальный аграрный исследовательский университет,6B04111 Оценка
Казахстанско-Британский технический университет,6B04111 Предпринимательство
Карагандинский университет Казпотребсоюза,6B04111 Проектно-инновационный менеджмент
Международный транспортно-гуманитарный университет,6B04111 Таможенное дело
Западно-Казахстанский университет имени Махамбета Утемисова,6B04111 Учет и аудит
Каспийский общественный университет,6B04111 Учет и аудит
Казахско-русский международный университет,6B04111 Финансы
Центрально-Казахстанская академия,6B04111 Экономика
Esil University,
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04112 Бизнес администрирование в области Экономики и науки о данных
Каспийский общественный университет,6B04112 Государственные финансы
Казахско-русский международный университет,6B04112 Маркетинг
Таразский  региональный университет имени М.Х.Дулати,6B04112 Менеджмент бизнеса
Карагандинский университет имени академика Е.А.Букетова,6B04112 Мировая экономика
Евразийский национальный университет им. Л.Н.Гумилева,6B04112 Управление человеческими ресурсами
Евразийский технологический университет,6B04113 Бренд-Менеджмент
Каспийский общественный университет,6B04113 Корпоративные финансы
Карагандинский университет имени академика Е.А.Букетова,6B04113 Маркетинг и SMM
Рудненский индустриальный университет,6B04113 Международный и корпоративный менеджмент
Казахско-русский международный университет,6B04113 Учет и аудит
Евразийский технологический университет,6B04114 PR-Менеджмент
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04114 Бизнес администрирование в области Финансов
Кокшетауский университет имени Абая Мырзахметова,6B04114 Государственное и местное управление
Таразский  региональный университет имени М.Х.Дулати,6B04114 Государственное и местное управление
Каспийский общественный университет,6B04114 Маркетинг
Западно-Казахстанский университет имени Махамбета Утемисова,6B04114 Маркетинг и бизнес
Международный университет Астана,6B04114 Менеджмент
Карагандинский университет имени академика Е.А.Букетова,6B04114 Мировая экономика и таможенное регулирование
Казахско-русский международный университет,6B04114 Организация налогового учета и аудита в отраслях экономики
Центрально-Казахстанская академия,6B04114 Учет и аудит
Евразийский национальный университет им. Л.Н.Гумилева,6B04114 Финансы
Каспийский общественный университет,6B04115 Digital маркетинг
Казахский национальный аграрный исследовательский университет,6B04115 Агротуризм
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04115 Бизнес администрирование в области Менеджмента
Карагандинский университет Казпотребсоюза,6B04115 Финансово-таможенный менеджмент
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04116 Бизнес администрирование в области Информационных Технологий
Кокшетауский университет имени Абая Мырзахметова,6B04116 Финансы
Алматинский гуманитарно-экономический университет,6B04116 Экономика
Alikhan Bokeikhan University,6B04116 Экономика
Университет КАЗГЮУ имени М.С. Нарикбаева,6B04117 Бизнес администрирование в области Маркетинга
Alikhan Bokeikhan University,6B04117 Учет и аудит
